id,language,name
12,en_us,Male
12,zh_cn,男
13,en_us,Female
13,zh_cn,女
14,en_us,Identity Card
14,zh_cn,身份证
15,en_us,Passport
15,zh_cn,护照
16,en_us,Taiwan Compatriot Permit
16,zh_cn,台胞证
17,en_us,Home Return Permit
17,zh_cn,回乡证
18,en_us,Two-way Permit
18,zh_cn,港澳通行证
28,en_us,VAT invoice (Special)
28,zh_cn,增值税专用发票
29,en_us,VAT invoice (General)
29,zh_cn,增值税普通发票
30,en_us,E-VAT invoice (General)
30,zh_cn,增值税普通发票(电子)
31,en_us,Value-added tax Invoice
31,zh_cn,增值税普通发票(卷式)
32,en_us,Standard Vehicle Invoice
32,zh_cn,机动车销售统一发票
33,en_us,Highway invoice
33,zh_cn,高速公路通行费发票
34,en_us,Non Highway invoice
34,zh_cn,非高速公路通行费发票
35,en_us,Agricultural Products
35,zh_cn,代扣代缴税收通用缴款凭证
36,en_us,Customs Import
36,zh_cn,海关进口增值税专用缴款书
37,en_us,Agricultural Products
37,zh_cn,农产品收购发票
38,en_us,Cargo transportation invoice
38,zh_cn,货物运输业增值税专用发票
280,en_us,prefix
280,zh_cn,附加前缀
281,en_us,suffix
281,zh_cn,附加后缀
282,en_us,China
282,zh_cn,中国大陆
283,en_us,Hongkong
283,zh_cn,中国香港
284,en_us,Taiwan
284,zh_cn,中国台湾
285,en_us,Macao
285,zh_cn,中国澳门
286,en_us,United States of America (USA)
286,zh_cn,美国
287,en_us,France
287,zh_cn,法国
288,en_us,Great Britain (United Kingdom; England)
288,zh_cn,英国
289,en_us,Singapore
289,zh_cn,新加坡
290,en_us,Japan
290,zh_cn,日本
291,en_us,South Korea
291,zh_cn,韩国
292,en_us,India
292,zh_cn,印度
293,en_us,Italy
293,zh_cn,意大利
294,en_us,Greenland
294,zh_cn,格陵兰
295,en_us,Germany
295,zh_cn,德国
296,en_us,Canada
296,zh_cn,加拿大
297,en_us,Australia
297,zh_cn,澳大利亚
298,en_us,Andorra
298,zh_cn,安道尔
299,en_us,The United Arab Emirates
299,zh_cn,阿联酋
300,en_us,Afghanistan
300,zh_cn,阿富汗
301,en_us,Antigua and Barbuda
301,zh_cn,安提瓜和巴布达
302,en_us,Anguilla
302,zh_cn,安圭拉
303,en_us,Albania
303,zh_cn,阿尔巴尼亚
304,en_us,Armenia
304,zh_cn,亚美尼亚
305,en_us,Netherlands Antilles
