id|airport_code|code
1|AYN|CHN041005000
2|BGW|USA0AZBGT000
3|BUE|ARG000BUE000
4|BUH|ROU0000BC000
5|CHI|USA0ILCHI000
6|CHW|CHN062009000
7|DTT|USA0MIDET000
8|HDD|IND000003000
9|IZM|TUR000IZM000
10|JIL|CHN022002000
11|JRO|TZA0000KJ000
12|LCA|CYP000003000
13|MIL|ITA000MIL000
14|MMA|SWE000002000
15|MOW|RUS000MOW000
16|NYC|USA0NY000000
17|OSA|JPN000027000
18|PAR|FRA000PAR000
19|PTY|PAN000000000
20|RIO|BRA0000RJ000
21|ROM|USA000RMG000
22|SAO|BRA0000SP000
23|SPK|JPN000051000
24|SZV|CHN032005000
25|TCI|ESP000009000
26|TIA|ALB0000TR000
27|TIJ|MEX000TIJ000
28|TNR|MDG0000AN000
29|TYO|JPN000013000
30|WAS|USA0PAWSG000
31|YEA|CAN000EDM000
32|YMQ|CAN000MTR000
33|HHP|CHN081000000
34|HKG|CHN081000000
35|MFM|CHN082000000
36|TPE|CHN071001000
37|TSA|CHN071001000
38|KHH|CHN071019000
39|HSZ|CHN071011000
40|TNN|CHN071018000
41|TTT|CHN071022000
42|RMQ|CHN071013000
43|CYI|CHN071017000
44|MZG|CHN071026000
45|PIF|CHN071002000
46|HUN|CHN071023000
47|KNH|CHN035005027
48|MFK|CHN071025000
49|HCN|CHN071024000
50|DSX|CHN071027000
51|GNI|CHN071028000
52|KYD|CHN071029000
53|MKZ|MYS0ML000000
54|TGG|MYS0TRTGG000
55|SIN|SGP000000000
56|XSP|SGP000000000
57|QPG|SGP000000000
58|OVB|RUS000NVS000
59|ALA|KAZ000ALA000
60|AMS|NLD000AMS000
61|CDG|FRA000PAR000
62|BVA|FRA000PAR000
63|JPU|FRA000PAR000
64|LBG|FRA000PAR000
65|JDP|FRA000PAR000
66|ORY|FRA000PAR000
67|POX|FRA000PAR000
68|XCR|FRA000PAR000
69|SXF|DEU0000BE000
70|TXL|DEU0000BE000
71|BER|DEU0000BE000
72|BAH|BHR000000000
73|BRU|BEL000BRU000
74|CRL|BEL000BRU000
75|NGS|JPN000042000
76|DNA|JPN000047000
77|OKA|JPN000047000
78|KIX|JPN000027000
79|ITM|JPN000027000
80|DCG|ARE0000DU000
81|DJH|ARE0000DU000
82|DXB|ARE0000DU000
83|DWC|ARE0000DU000
84|NHD|ARE0000DU000
85|HND|JPN000013000
86|OKO|JPN000013000
87|NRT|JPN000013000
88|DEL|GBRNIRDRY000
89|DTW|USA0MIDET000
90|DET|USA0MIDET000
91|YIP|USA0MIDET000
92|FUK|JPN000040000
93|FRA|DEU000FFO000
94|HHN|DEU000FFO000
95|PUS|KOR026000000
96|CPH|DNK000CPH000
97|RKE|DNK000CPH000
98|HIJ|JPN000034000
99|HIW|JPN000034000
100|OKJ|JPN000033000
101|YOK|JPN000048000
102|GMP|KOR011000000
103|ICN|KOR011000000
104|SSN|KOR011000000
105|HEL|FIN000HEL000
106|HEM|FIN000HEL000
107|HEN|FIN000HEL000
108|HAN|VNM0000HI000
109|WAW|POL000WAW000
110|PNH|KHM000PNH000
111|IEV|UKR000030000
