id|code|name|type|parent_id
1|110000|北京|PROVINCE|0
2|CHN012000000|天津|PROVINCE|0
3|CHN013000000|河北省|PROVINCE|0
4|CHN014000000|山西省|PROVINCE|0
5|CHN015000000|内蒙古|PROVINCE|0
6|CHN021000000|辽宁省|PROVINCE|0
7|CHN022000000|吉林省|PROVINCE|0
8|CHN023000000|黑龙江|PROVINCE|0
9|310000|上海|PROVINCE|0
10|CHN032000000|江苏省|PROVINCE|0
11|CHN033000000|浙江省|PROVINCE|0
12|CHN034000000|安徽省|PROVINCE|0
13|CHN035000000|福建省|PROVINCE|0
14|CHN036000000|江西省|PROVINCE|0
15|CHN037000000|山东省|PROVINCE|0
16|CHN041000000|河南省|PROVINCE|0
17|CHN042000000|湖北省|PROVINCE|0
18|CHN043000000|湖南省|PROVINCE|0
19|CHN044000000|广东省|PROVINCE|0
20|CHN045000000|广  西|PROVINCE|0
21|CHN046000000|海南省|PROVINCE|0
22|CHN050000000|重庆|PROVINCE|0
23|CHN051000000|四川省|PROVINCE|0
24|CHN052000000|贵州省|PROVINCE|0
25|CHN053000000|云南省|PROVINCE|0
26|CHN054000000|西  藏|PROVINCE|0
27|CHN061000000|陕西省|PROVINCE|0
28|CHN062000000|甘肃省|PROVINCE|0
29|CHN063000000|青海省|PROVINCE|0
30|CHN064000000|宁  夏|PROVINCE|0
31|CHN065000000|新  疆|PROVINCE|0
32|CHN071000000|台湾省|PROVINCE|0
33|CHN081000000|香港|PROVINCE|0
34|CHN082000000|澳门|PROVINCE|0
201|CHN011000000|北京|CITY|1
202|CHN013001000|石家庄|CITY|3
203|CHN013002000|唐山|CITY|3
204|CHN013003000|秦皇岛|CITY|3
205|CHN013004000|邯郸|CITY|3
206|CHN013005000|邢台|CITY|3
207|CHN013006000|保定|CITY|3
208|CHN013007000|张家口|CITY|3
209|CHN013008000|承德|CITY|3
401|CHN011001000|东城区|AREA|201
402|CHN011002000|西城区|AREA|201
403|110103|崇文区|AREA|201
404|110104|宣武区|AREA|201
405|CHN011005000|朝阳区|AREA|201
406|CHN011006000|丰台区|AREA|201
407|CHN011007000|石景山区|AREA|201
408|CHN011008000|海淀区|AREA|201
409|CHN011009000|门头沟区|AREA|201
2010|CHN013009000|沧州|CITY|3
2011|CHN013010000|廊坊|CITY|3
2012|CHN013011000|衡水|CITY|3
2013|CHN014001000|太原|CITY|4
2014|CHN014002000|大同|CITY|4
2015|CHN014003000|阳泉|CITY|4
2016|CHN014004000|长治|CITY|4
2017|CHN014005000|晋城|CITY|4
2018|CHN014006000|朔州|CITY|4
2019|CHN014007000|晋中|CITY|4
2020|CHN014008000|运城|CITY|4
2021|CHN014009000|忻州|CITY|4
2022|CHN014010000|临汾|CITY|4
2023|CHN014011000|吕梁|CITY|4
2024|CHN015001000|呼和浩特|CITY|5
2025|CHN015002000|包头|CITY|5
2026|CHN015003000|乌海|CITY|5
2027|CHN015004000|赤峰|CITY|5
2028|CHN015005000|通辽|CITY|5
2029|CHN015006000|鄂尔多斯|CITY|5
2030|CHN015007000|呼伦贝尔|CITY|5
2031|CHN015008000|巴彦淖尔|CITY|5
2032|CHN015009000|乌兰察布|CITY|5
2033|CHN015022000|兴安盟|CITY|5
2034|CHN015025000|锡林郭勒盟|CITY|5
2035|CHN015029000|阿拉善盟|CITY|5
2036|CHN021001000|沈阳|CITY|6
2037|CHN021002000|大连|CITY|6
2038|CHN021003000|鞍山|CITY|6
2039|CHN021004000|抚顺|CITY|6
2040|CHN021005000|本溪|CITY|6
2041|CHN021006000|丹东|CITY|6
2042|CHN021007000|锦州|CITY|6
2043|CHN021008000|营口|CITY|6
2044|CHN021009000|阜新|CITY|6
2045|CHN021010000|辽阳|CITY|6
2046|CHN021011000|盘锦|CITY|6
2047|CHN021012000|铁岭|CITY|6
2048|CHN021013000|朝阳|CITY|6
2049|CHN021014000|葫芦岛|CITY|6
2050|CHN022001000|长春|CITY|7
2051|CHN022002000|吉林|CITY|7
2052|CHN022003000|四平|CITY|7
2053|CHN022004000|辽源|CITY|7
2054|CHN022005000|通化|CITY|7
2055|CHN022006000|白山|CITY|7
2056|CHN022007000|松原|CITY|7
2057|CHN022008000|白城|CITY|7
2058|CHN022024000|延边朝鲜族自治州|CITY|7
2059|CHN023001000|哈尔滨|CITY|8
2060|CHN023002000|齐齐哈尔|CITY|8
2061|CHN023003000|鸡西|CITY|8
2062|CHN023004000|鹤岗|CITY|8
2063|CHN023005000|双鸭山|CITY|8
2064|CHN023006000|大庆|CITY|8
2065|CHN023007000|伊春|CITY|8
2066|CHN023008000|佳木斯|CITY|8
2067|CHN023009000|七台河|CITY|8
2068|CHN023010000|牡丹江|CITY|8
2069|CHN023011000|黑河|CITY|8
2070|CHN023012000|绥化|CITY|8
2071|CHN023027000|大兴安岭地区|CITY|8
2072|CHN031000000|上海|CITY|9
2073|310200|县|CITY|9
2074|CHN032001000|南京|CITY|10
2075|CHN032002000|无锡|CITY|10
2076|CHN032003000|徐州|CITY|10
2077|CHN032004000|常州|CITY|10
2078|CHN032005000|苏州|CITY|10
2079|CHN032006000|南通|CITY|10
2080|CHN032007000|连云港|CITY|10
2081|CHN032008000|淮安|CITY|10
2082|CHN032009000|盐城|CITY|10
2083|CHN032010000|扬州|CITY|10
2084|CHN032011000|镇江|CITY|10
2085|CHN032012000|泰州|CITY|10
2086|CHN032013000|宿迁|CITY|10
2087|CHN033001000|杭州|CITY|11
2088|CHN033002000|宁波|CITY|11
2089|CHN033003000|温州|CITY|11
2090|CHN033004000|嘉兴|CITY|11
2091|CHN033005000|湖州|CITY|11
2092|CHN033006000|绍兴|CITY|11
2093|CHN033007000|金华|CITY|11
