id|abbreviation|language|code|country|state|city|district|description
66749||zh_cn|USA0AKVAK000|美国|阿拉斯加|切瓦克|切瓦克|美国-阿拉斯加-切瓦克
66750||zh_cn|USA0WIATW000|美国|威斯康星|阿普尔顿|阿普尔顿|美国-威斯康星-阿普尔顿
66751||zh_cn|USA0WATTW000|美国|华盛顿|塔科马|塔科马|美国-华盛顿-塔科马
66752||zh_cn|USA0WI000000|美国|威斯康星|威斯康星|威斯康星|美国-威斯康星
66753||zh_cn|USA0WIEAU000|美国|威斯康星|欧克莱尔|欧克莱尔|美国-威斯康星-欧克莱尔
66754||zh_cn|USA0WIGBK000|美国|威斯康星|格林贝|格林贝|美国-威斯康星-格林贝
66755||zh_cn|USA0WILSE000|美国|威斯康星|拉克罗斯|拉克罗斯|美国-威斯康星-拉克罗斯
66756||zh_cn|USA0WIAUW000|美国|威斯康星|沃索|沃索|美国-威斯康星-沃索
66757||zh_cn|USA0WIMQT000|美国|威斯康星|马凯特|马凯特|美国-威斯康星-马凯特
66758||zh_cn|RUS000ABA000|俄罗斯|阿巴坎|阿巴坎||俄罗斯-阿巴坎
66759||zh_cn|USA0WVAAF000|美国|西佛吉尼亚|阿巴拉契克拉|阿巴拉契克拉|美国-西佛吉尼亚-阿巴拉契克拉
66760|阿坝县|zh_cn|CHN051032031|中国|四川|阿坝|阿坝县|中国-四川-阿坝-阿坝县
66761|黑水县|zh_cn|CHN051032028|中国|四川|阿坝|黑水县|中国-四川-阿坝-黑水县
66762|红原县|zh_cn|CHN051032033|中国|四川|阿坝|红原县|中国-四川-阿坝-红原县
66763|金川县|zh_cn|CHN051032026|中国|四川|阿坝|金川县|中国-四川-阿坝-金川县
66764|九寨沟县|zh_cn|CHN051032025|中国|四川|阿坝|九寨沟县|中国-四川-阿坝-九寨沟县
66765|理县|zh_cn|CHN051032022|中国|四川|阿坝|理县|中国-四川-阿坝-理县
66766|马尔康县|zh_cn|CHN051032029|中国|四川|阿坝|马尔康县|中国-四川-阿坝-马尔康县
66767|茂县|zh_cn|CHN051032023|中国|四川|阿坝|茂县|中国-四川-阿坝-茂县
66768|壤塘县|zh_cn|CHN051032030|中国|四川|阿坝|壤塘县|中国-四川-阿坝-壤塘县
66769|若尔盖县|zh_cn|CHN051032032|中国|四川|阿坝|若尔盖县|中国-四川-阿坝-若尔盖县
66770|松潘县|zh_cn|CHN051032024|中国|四川|阿坝|松潘县|中国-四川-阿坝-松潘县
66771|汶川县|zh_cn|CHN051032021|中国|四川|阿坝|汶川县|中国-四川-阿坝-汶川县
66772|小金县|zh_cn|CHN051032027|中国|四川|阿坝|小金县|中国-四川-阿坝-小金县
66773||zh_cn|CHN051032000|中国|四川|阿坝|阿坝|中国-四川-阿坝
66774||zh_cn|USA0TXABI000|美国|德克萨斯|阿比林|阿比林|美国-德克萨斯-阿比林
66775||zh_cn|USA0KSABZ000|美国|堪萨斯|阿比林|阿比林|美国-堪萨斯-阿比林
66776||zh_cn|NGA000ABV000|尼日利亚|阿比亚|阿比亚||尼日利亚-阿比亚
66777||zh_cn|YEM0000AB000|也门|阿比扬|阿比扬||也门-阿比扬
66778||zh_cn|USA0VAVJI000|美国|维吉尼亚|阿宾登岛|阿宾登岛|美国-维吉尼亚-阿宾登岛
66779||zh_cn|SLV000APO000|萨尔瓦多|阿波帕|阿波帕||萨尔瓦多-阿波帕
66780||zh_cn|CAN000ABB000|加拿大|阿伯茨福|阿伯茨福||加拿大-阿伯茨福
66781||zh_cn|USA0MDAPG000|美国|马里兰|阿伯丁|阿伯丁|美国-马里兰-阿伯丁
66782||zh_cn|USA0SDABK000|美国|南达科他|阿伯丁|阿伯丁|美国-南达科他-阿伯丁
