id|code|country_pinyin|country_code|state_pinyin|state_code|city_pinyin|city_code|district_pinyin|district_code
36249|USA0AKVAK000|Mei Guo |USA|A La Si Jia |0AK|CHEVAK　|VAK||
36250|USA0WIATW000|Mei Guo |USA|Wei Si Kang Xing |0WI|A Pu Er Dun |ATW||
36251|USA0WATTW000|Mei Guo |USA|Hua Sheng Dun |0WA|Ta Ke Ma |TTW||
36252|USA0WI000000|Mei Guo |USA|Wei Si Kang Xing |0WI|Wei Si Kang Xing |000||
36253|USA0WIEAU000|Mei Guo |USA|Wei Si Kang Xing |0WI|Ou Ke Lai Er|EAU||
36254|USA0WIGBK000|Mei Guo |USA|Wei Si Kang Xing |0WI|Ge Lin Bei |GBK||
36255|USA0WILSE000|Mei Guo |USA|Wei Si Kang Xing |0WI|La Ke Luo Si |LSE||
36256|USA0WIAUW000|Mei Guo |USA|Wei Si Kang Xing |0WI|Wo Suo |AUW||
36257|USA0WIMQT000|Mei Guo |USA|Wei Si Kang Xing |0WI|Ma Kai Te |MQT||
36258|RUS000ABA000|E Luo Si |RUS||000|A Ba Kan |ABA||
36259|USA0WVAAF000|Mei Guo |USA|Xi Fu Ji Ni Ya |0WV|A Ba La Qi Ke La |AAF||
36260|CHN051032031|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36261|CHN051032028|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36262|CHN051032033|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36263|CHN051032026|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36264|CHN051032025|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36265|CHN051032022|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36266|CHN051032029|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36267|CHN051032023|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36268|CHN051032030|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36269|CHN051032032|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36270|CHN051032024|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36271|CHN051032021|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36272|CHN051032027|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36273|CHN051032000|Zhong Guo |CHN|Si Chuan |051|A Ba |032||
36274|USA0TXABI000|Mei Guo |USA|De Ke Sa Si |0TX|A Bi Lin |ABI||
36275|USA0KSABZ000|Mei Guo |USA|Kan Sa Si |0KS|A Bi Lin |ABZ||
36276|NGA000ABV000|Ni Ri Li Ya |NGA||000|A Bi Ya |ABV||
36277|YEM0000AB000|Ye Men |YEM||000|A Bi Yang |0AB||
36278|USA0VAVJI000|Mei Guo |USA|Wei Ji Ni Ya |0VA|A Bin Deng Dao |VJI||
36279|SLV000APO000|Sa Er Wa Duo |SLV||000|A Bo Pa |APO||
36280|CAN000ABB000|Jia Na Da |CAN||000|A Bo Ci Fu |ABB||
36281|USA0MDAPG000|Mei Guo |USA|Ma Li Lan |0MD|A Bo Ding |APG||
36282|USA0SDABK000|Mei Guo |USA|Nan Da Ke Ta |0SD|A Bo Ding |ABK||
36283|GBRSCTABD000|Ying Guo |GBR|Su Ge Lan |SCT|A Bo Ding |ABD||
36284|AZE000ABS000|A Sai Bai Jiang |AZE||000|A Bu Xie Long |ABS||
36285|ARE0000AZ000|A La Bo Lian He Qiu Chang Guo |ARE||000|A Bu Zha Bi |0AZ||
36286|CMR000ADA000|Ka Mai Long |CMR||000|A Da Ma Wa |ADA||
36287|TUR000ADA000|Tu Er Qi |TUR||000|A Da Na |ADA||
36288|DZA000ADR000|A Er Ji Li Ya |DZA||000|A De La Er |ADR||
36289|MRT0000AD000|Mao Li Ta Ni Ya |MRT||000|A De La Er |0AD||
36290|AUS0SAADL000|Ao Da Li Ya |AUS|Nan Ao Da Li Ya |0SA|A De Lai De |ADL||
36291|USA0MIADG000|Mei Guo |USA|Mi Xie Gen |0MI|A De Li An |ADG||
36292|USA0ALADM000|Mei Guo |USA|A La Ba Ma |0AL|A De Mo Er |ADM||
36293|TUR000ADI000|Tu Er Qi |TUR||000|A De Ya Man |ADI||
36294|URY0000AR000|Wu La Gui |URY||000|A Di Jia Si |0AR||
36295|USA0CAATS000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|A Di Xi Ya |ATS||
36296|MDV000ADD000|Ma Er Dai Fu |MDV||000|A Du |ADD||
36297|DEU000ARN000|De Guo |DEU||000|A En Si Bei Ge |ARN||
36298|SAU000ARA000|Sha Te A La Bo |SAU||000|A Er A Er |ARA||
36299|ROU0000AL000|Luo Ma Ni Ya |ROU||000|A Er Ba You Li Ya |0AL||
36300|USA0MNAEL000|Mei Guo |USA|Ming Ni Su Da |0MN|A Er Bo Te Lei A |AEL||
36301|USA0NMABQ000|Mei Guo |USA|Xin Mo Xi Ge |0NM|A Er Bo Ke Ji |ABQ||
36302|TUR000ARD000|Tu Er Qi |TUR||000|A Er Da Han |ARD||
36303|CHE0000AG000|Rui Shi |CHE||000|A Er Gao |0AG||
36304|USA000AXG000|Mei Guo |USA||000|A Er Ge Na |AXG||
36305|RUS000ARK000|E Luo Si |RUS||000|A Er Han Ge Er Si Ke |ARK||
36306|DZA000ALG000|A Er Ji Li Ya |DZA||000|A Er Ji Er |ALG||
36307|KAZ000AYK000|Ha Sa Ke Si Tan |KAZ||000|A Er Ka Lei Ke |AYK||
36308|FRA000ARL000|Fa Guo |FRA||000|A Er Le |ARL||
36309|ARM000ARM000|Ya Mei Ni Ya |ARM||000|A Er Ma Wei Er |ARM||
36310|NLD000AER000|He Lan |NLD||000|A Er Mei Le |AER||
36311|ESP000LEI000|Xi Ban Ya |ESP||000|A Er Mei Li Ya |LEI||
36312|USA0AKKUK000|Mei Guo |USA|A La Si Jia |0AK|A Er Miao Te |KUK||
36313|USA0CAALE000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|A Er Pai En |ALE||
36314|USA0MIAPN000|Mei Guo |USA|Mi Xie Gen |0MI|A Er Pi Na |APN||
36315|USA0AKPTA000|Mei Guo |USA|A La Si Jia |0AK|A Er Si Wo Te Gang |PTA||
36316|USA0OKLTS000|Mei Guo |USA|E Ke La He Ma |0OK|A Er Te Si |LTS||
36317|TUR000ART000|Tu Er Qi |TUR||000|A Er Te Wen |ART||
36318|USA0PAAOO000|Mei Guo |USA|Bin Xi Fa Ni Ya |0PA|A Er Tuo Na |AOO||
36319|ESP000ALB000|Xi Ban Ya |ESP||000|A Er Wa Sai Te |ALB||
36320|ETH0000AF000|Ai Sai E Bi Ya |ETH||000|A Fa Er |0AF||
36321|TUR000AFY000|Tu Er Qi |TUR||000|A Fei Yong |AFY||
36322|USA0MOAFO000|Mei Guo |USA|Mi Su Li |0MO|A Fu Dun |AFO||
36323|USA0MTHVR000|Mei Guo |USA|Meng Da Na |0MT|A Fu Lei |HVR||
36324|MEX000AGU000|Mo Xi Ge |MEX||000|A Gua Si Ka Lian Si Te |AGU||
36325|TKM00000A000|Tu Ku Man Si Tan |TKM||000|A Ha Er |00A||
36326|USA0AKKKI000|Mei Guo |USA|A La Si Jia |0AK|A Ji Ya Cha Ke |KKI||
36327|USA0AKAKI000|Mei Guo |USA|A La Si Jia |0AK|A Ji Ya Ke |AKI||
36328|JOR0000AJ000|Yue Dan |JOR||000|A Ji Long |0AJ||
36329|NER000AJY000|Ni Ri Er |NER||000|A Jia De Zi |AJY||
36330|RUS000AGI000|E Luo Si |RUS||000|A Jin Si Ke Ye |AGI||
36331|MEX000ACA000|Mo Xi Ge |MEX||000|A Ka Pu Er Ke |ACA||
36332|BRA0000AC000|Ba Xi |BRA||000|A Ke Li |0AC||
36333|USA0OHAKO000|Mei Guo |USA|E Hai E |0OH|A Ke Lun |AKO||
36334|USA0OHCAK000|Mei Guo |USA|E Hai E |0OH|A Ke Lun /Kan Tong |CAK||
36335|KAZ000AKM000|Ha Sa Ke Si Tan |KAZ||000|A Ke Mo La |AKM||
36336|TUR000AKS000|Tu Er Qi |TUR||000|A Ke Sa Lai |AKS||
36337|NOR000002000|Nuo Wei |NOR||000|A Ke Shi Hu Si |002||
36338|KAZ000AKS000|Ha Sa Ke Si Tan |KAZ||000|A Ke Su |AKS||
36339|CHN065029001|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36340|CHN065029028|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36341|CHN065029026|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36342|CHN065029029|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36343|CHN065029023|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36344|CHN065029024|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36345|CHN065029022|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36346|CHN065029027|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36347|CHN065029025|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36348|CHN065029000|Zhong Guo |CHN|Xin Jiang |065|A Ke Su |029||
36349|USA0CAACV000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|A Ke Ta |ACV||
36350|KAZ000AKT000|Ha Sa Ke Si Tan |KAZ||000|A Ke Tuo Bie |AKT||
36351|USA0AKAKK000|Mei Guo |USA|A La Si Jia |0AK|A Ke Xi Ao Ke |AKK||
36352|USA0AKKQA000|Mei Guo |USA|A La Si Jia |0AK|A Ku Tan |KQA||
36353|ROU0000AR000|Luo Ma Ni Ya |ROU||000|A La De |0AR||
36354|CHN065092000|Zhong Guo |CHN|Xin Jiang |065|A La Er |092||
36355|BRA0000AL000|Ba Xi |BRA||000|A La Ge Si |0AL||
36356|VEN00000D000|Wei Na Rui La |VEN||000|A La Gua |00D||
36357|CRI00000A000|Ge Si Da Li Jia |CRI||000|A La Hu Ai La |00A||
36358|ARM000AGT000|Ya Mei Ni Ya |ARM||000|A La Jia Cuo Te En |AGT||
36359|USA0AKAET000|Mei Guo |USA|A La Si Jia |0AK|A La Ka Ji Te |AET||
36360|USA000AUK000|Mei Guo |USA||000|A La Ke Na Ke |AUK||
36361|ARM000ARA000|Ya Mei Ni Ya |ARM||000|A La La Te |ARA||
36362|USA0CANGZ000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|A La Mei Da |NGZ||
36363|USA0NMALM000|Mei Guo |USA|Xin Mo Xi Ge |0NM|A La Mo Ge Duo |ALM||
36364|USA0COALS000|Mei Guo |USA|Ke Luo La Duo |0CO|A La Mo Sa |ALS||
36365|KAZ000ALA000|Ha Sa Ke Si Tan |KAZ||000|A La Mu Tu |ALA||
36366|USA0COAHF000|Mei Guo |USA|Ke Luo La Duo |0CO|A La Po Huo |AHF||
36367|CHN015029022|Zhong Guo |CHN|Na Meng Gu |015|A La Shan |029||
36368|CHN015029021|Zhong Guo |CHN|Na Meng Gu |015|A La Shan |029||
36369|CHN015029023|Zhong Guo |CHN|Na Meng Gu |015|A La Shan |029||
36370|CHN015029000|Zhong Guo |CHN|Na Meng Gu |015|A La Shan |029||
36371|USA0AKWLK000|Mei Guo |USA|A La Si Jia |0AK|A La Si Jia Sa La Wei Ke |WLK||
36372|USA0AKWBB000|Mei Guo |USA|A La Si Jia |0AK|A La Si Jia Te Bin Si |WBB||
36373|USA0AKWWP000|Mei Guo |USA|A La Si Jia |0AK|A La Si Jia Wei Er Pa Si |WWP||
36374|ESP000ALA000|Xi Ban Ya |ESP||000|A La Wa |ALA||
36375|USA0NEAIA000|Mei Guo |USA|Na Bu La Si Jia |0NE|A Lai En Si |AIA||
36376|COL000ARA000|Ge Lun Bi Ya |COL||000|A Lao Ka |ARA||
36377|CHL0000AR000|Zhi Li |CHL||000|A Lao Ka Ni Ya Da Qu |0AR||
36378|TUR000AGR000|Tu Er Qi |TUR||000|A Le |AGR||
36379|USA000AMN000|Mei Guo |USA||000|A Le Ma |AMN||
36380|USA0AKWKK000|Mei Guo |USA|A La Si Jia |0AK|A Le Na Ji Ke |WKK||
36381|SYR0000HL000|Xu Li Ya |SYR||000|A Le Po |0HL||
36382|CHN065043001|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36383|CHN065043021|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36384|CHN065043023|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36385|CHN065043022|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36386|CHN065043024|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36387|CHN065043026|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36388|CHN065043025|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36389|CHN065043000|Zhong Guo |CHN|Xin Jiang |065|A Le Tai |043||
36390|PER0000AR000|Mi Lu |PER||000|A Lei Ji Pa |0AR||
36391|KAZ000ARY000|Ha Sa Ke Si Tan |KAZ||000|A Lei Si |ARY||
36392|BEN0000AL000|Bei Ning |BEN||000|A Li Bo Li |0AL||
36393|CHN054025027|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36394|CHN054025023|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36395|CHN054025026|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36396|CHN054025025|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36397|CHN054025021|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36398|CHN054025024|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36399|CHN054025022|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36400|CHN054025000|Zhong Guo |CHN|Xi Cang |054|A Li |025||
36401|DJI00000S000|Ji Bu Ti |DJI||000|A Li Sa Bi He Qu |00S||
36402|USA000AQY000|Mei Guo |USA||000|A Li Ye Si Ka |AQY||
36403|ESP000ALC000|Xi Ban Ya |ESP||000|A Li Kan Te |ALC||
36404|USA0AKALZ000|Mei Guo |USA|A La Si Jia |0AK|A Li Ta Ke |ALZ||
36405|LTU0000AL000|Li Tao Wan |LTU||000|A Li Tu Si |0AL||
36406|USA0ILJLH000|Mei Guo |USA|Yi Li Nuo Si |0IL|A Ling Dun Hai Ci |JLH||
36407|LVA000ALU000|La Tuo Wei Ya |LVA||000|A Lu Ke Si Na |ALU||
36408|UGA000ARU000|Wu Gan Da |UGA||000|A Lu A |ARU||
36409|TZA0000AR000|Tan Sang Ni Ya |TZA||000|A Lu Sha |0AR||
36410|USA0PAAEW000|Mei Guo |USA|Bin Xi Fa Ni Ya |0PA|A Lun Dun |AEW||
36411|VEN00000Y000|Wei Na Rui La |VEN||000|A Ma Ku Luo San Jiao Zhou |00Y||
36412|USA0TXAMA000|Mei Guo |USA|De Ke Sa Si |0TX|A Ma Li Luo |AMA||
36413|BRA0000AP000|Ba Xi |BRA||000|A Ma Pa |0AP||
36414|TUR000AMA000|Tu Er Qi |TUR||000|A Ma Xi Ya |AMA||
36415|PRY0000AM000|Ba La Gui |PRY||000|A Man Bai |0AM||
36416|USA000AYZ000|Mei Guo |USA||000|A Mi Di Wei Er |AYZ||
36417|NLD000AME000|He Lan |NLD||000|A Mo Si Fu Te |AME||
36418|ETH0000AH000|Ai Sai E Bi Ya |ETH||000|A Mu Ha La |0AH||
36419|USA000AOS000|Mei Guo |USA||000|A Mu Ke |AOS||
36420|YEM0000AM000|Ye Men |YEM||000|A Mu Lan |0AM||
36421|NLD000AMS000|He Lan |NLD||000|A Mu Si Te Dan |AMS||
36422|USA0LAPTL000|Mei Guo |USA|Lu Yi Si An Na |0LA|A Mu Si Te Lang Gang |PTL||
36423|ASM000AAN000|Mei Shu Sa Mo Ya |ASM||000|A Na |AAN||
36424|RUS000DYR000|E Luo Si |RUS||000|A Na De Er |DYR||
36425|USA000NDV000|Mei Guo |USA||000|A Na Ke Si Di Ya |NDV||
36426|USA0WAOTS000|Mei Guo |USA|Hua Sheng Dun |0WA|A Na Ke Te Si |OTS||
36427|USA0AKAKP000|Mei Guo |USA|A La Si Jia |0AK|A Na Ke Tu Wo Ke |AKP||
36428|NLD000ARN000|He Lan |NLD||000|A Na Mu |ARN||
36429|USA000ANA000|Mei Guo |USA||000|A Na Xi Mu |ANA||
36430|USA0AKANI000|Mei Guo |USA|A La Si Jia |0AK|A Ni Ya Ke |ANI||
36431|CIV0000AG000|Ke Te Di Wa |CIV||000|A Nie Bi |0AG||
36432|LKA000ADP000|Si Li Lan Ka |LKA||000|A Nu La De Pu Le |ADP||
36433|UGA000APC000|Wu Gan Da |UGA||000|A Pa Ke |APC||
36434|ZAF000UTN000|Nan Fei |ZAF||000|A Ping Dun |UTN||
36435|NLD000APE000|He Lan |NLD||000|A Po Er Duo Lun |APE||
36436|USA0CAAPV000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|A Pu Er Wa Li |APV||
36437|USA0CACCB000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|A Pu Lan |CCB||
36438|VEN00000C000|Wei Na Rui La |VEN||000|A Pu Lei |00C||
36439|PER0000AP000|Mi Lu |PER||000|A Pu Li Ma Ke |0AP||
36440|MRT0000AS000|Mao Li Ta Ni Ya |MRT||000|A Sa Ba |0AS||
36441|GHA0000AS000|Jia Na |GHA||000|A San Di |0AS||
36442|NLD000ASS000|He Lan |NLD||000|A Sen |ASS||
