id|code|vendor_type|city_alias_code|country_alias_code
1|ARE0000AL000|citsae|AAN|AE
2|ARE0000AZ000|citsae|AUH|AE
3|ARE0000DU000|citsae|DXB|AE
4|ARE0000DU000|citsae|NHD|AE
5|ARE000001000|citsae|RKT|AE
6|ARE0000SH000|citsae|SHJ|AE
7|AFG000001000|citsae|BST|AF
8|AFG000015000|citsae|CCN|AF
9|AFG000004000|citsae|DAZ|AF
10|AFG000005000|citsae|FAH|AF
11|AFG000006000|citsae|FBD|AF
12|AFG000009000|citsae|GRG|AF
13|AFG000010000|citsae|GZI|AF
14|AFG000HEA000|citsae|HEA|AF
15|AFG000014000|citsae|IMZ|AF
16|KGZ00000J000|citsae|JAA|AF
17|AFG000KBL000|citsae|KBL|AF
18|AFG000KDH000|citsae|KDH|AF
19|AFG000008000|citsae|KHT|AF
20|AFG000011000|citsae|KUR|AF
21|AFG000007000|citsae|KWH|AF
22|AFG000013000|citsae|LQN|AF
23|AFG000012000|citsae|MMZ|AF
24|AFG000MZR000|citsae|MZR|AF
25|AFG000016000|citsae|SBF|AF
26|AFG000017000|citsae|SGA|AF
27|AFG000002000|citsae|TII|AF
28|AFG000018000|citsae|TQN|AF
29|AFG000003000|citsae|UND|AF
30|AFG000019000|citsae|URN|AF
31|AFG000020000|citsae|URZ|AF
32|AFG000021000|citsae|ZAJ|AF
33|ATG000001000|citsae|BBQ|AG
34|AIA000000000|citsae|AXA|AI
35|ARM000EVN000|citsae|EVN|AM
36|NLD000003000|citsae|BON|AN
37|NLD000005000|citsae|CUR|AN
38|NLD000008000|citsae|EUX|AN
39|NLD000006000|citsae|SAB|AN
40|NLD000007000|citsae|SXM|AN
41|AGO000001000|citsae|AZZ|AO
42|AGO000BGU000|citsae|BUG|AO
43|AGO000CAB000|citsae|CAB|AO
44|AGO000018000|citsae|CAV|AO
45|AGO000002000|citsae|CBT|AO
46|AGO000029000|citsae|CEO|AO
47|AGO000016000|citsae|CFF|AO
48|AGO000019000|citsae|CNZ|AO
49|AGO000021000|citsae|CTI|AO
50|AGO000011000|citsae|DRC|AO
51|AGO000003000|citsae|DUE|AO
52|AGO000022000|citsae|GGC|AO
53|AGO000027000|citsae|GXG|AO
54|AGO000015000|citsae|JMB|AO
55|AGO000017000|citsae|KNP|AO
56|AGO000LUA000|citsae|LAD|AO
57|AGO000025000|citsae|LBZ|AO
58|AGO000024000|citsae|LUO|AO
59|AGO000026000|citsae|LZM|AO
60|AGO000MAL000|citsae|MEG|AO
61|AGO000004000|citsae|MSZ|AO
62|AGO000009000|citsae|NDD|AO
63|AGO000012000|citsae|NDF|AO
64|AGO000013000|citsae|NGV|AO
65|AGO000HUA000|citsae|NOV|AO
66|AGO000014000|citsae|NZA|AO
67|AGO000010000|citsae|PBN|AO
68|AGO000030000|citsae|PGI|AO
69|AGO000005000|citsae|SDD|AO
70|AGO000006000|citsae|SPP|AO
71|AGO000020000|citsae|SVP|AO
72|AGO000028000|citsae|SZA|AO
73|AGO000023000|citsae|UAL|AO
74|AGO000UIG000|citsae|UGO|AO
75|AGO000007000|citsae|VHC|AO
76|AGO000008000|citsae|VPE|AO
77|AGO000031000|citsae|XGN|AO
78|ARG000BUE000|citsae|BUE|AR
79|ARG000AFA000|citsae|AFA|AR
80|ARG000054000|citsae|AOL|AR
81|ARG000060000|citsae|APZ|AR
82|ARG000BHI000|citsae|BHI|AR
83|ARG000001000|citsae|BRC|AR
84|ARG000041000|citsae|CCT|AR
85|ARG000042000|citsae|CLX|AR
86|ARG000CNQ000|citsae|CNQ|AR
87|ARG000036000|citsae|CNT|AR
88|ARG000017000|citsae|COC|AR
89|ARG000COR000|citsae|COR|AR
90|ARG000002000|citsae|CPC|AR
91|ARG000039000|citsae|CPG|AR
92|ARG000CRD000|citsae|CRD|AR
93|ARG000061000|citsae|CRR|AR
94|ARG000065000|citsae|CSZ|AR
95|ARG000003000|citsae|CTC|AR
96|ARG000040000|citsae|CUT|AR
97|ARG000016000|citsae|CVH|AR
98|ARG000034000|citsae|CVI|AR
99|ARG000031000|citsae|EHL|AR
100|ARG000032000|citsae|ELO|AR
101|ARG000020000|citsae|EMX|AR
102|ARG000004000|citsae|EQS|AR
103|ARG000FMA000|citsae|FMA|AR
104|ARG000037000|citsae|GGS|AR
105|ARG000038000|citsae|GHU|AR
106|ARG000021000|citsae|GNR|AR
107|ARG000056000|citsae|GPO|AR
108|ARG000058000|citsae|HOS|AR
109|ARG000070000|citsae|IGB|AR
110|ARG000012000|citsae|IGR|AR
111|ARG000IRJ000|citsae|IRJ|AR
112|PER0000JU000|citsae|JNI|AR
113|ARG000063000|citsae|JSM|AR
114|ARG000JUJ000|citsae|JUJ|AR
115|ARG000014000|citsae|LCM|AR
116|ARG000050000|citsae|LCP|AR
117|ARG000013000|citsae|LGS|AR
118|ARG000044000|citsae|LHS|AR
119|ARG000045000|citsae|LLS|AR
120|ARG000051000|citsae|LMD|AR
121|ARG000LPG000|citsae|LPG|AR
122|ARG000LUQ000|citsae|LUQ|AR
123|ARG000024000|citsae|MCS|AR
124|ARG000MDQ000|citsae|MDQ|AR
125|ARG000023000|citsae|MDX|AR
126|ARG000MDZ000|citsae|MDZ|AR
127|ARG000053000|citsae|MJR|AR
128|ARG000052000|citsae|MQD|AR
129|ARG000015000|citsae|NEC|AR
130|ARG000NQN000|citsae|NQN|AR
131|ARG000068000|citsae|OES|AR
132|ARG000059000|citsae|OLN|AR
133|DZA000ORA000|citsae|ORA|AR
134|ARG000025000|citsae|OVR|AR
135|ARG000022000|citsae|OYA|AR
